date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default
#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,
2007-09-15,Maize (white) - Wholesale,MT,cereals and tubers,344.43,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2007-10-15,Maize (white) - Wholesale,MT,cereals and tubers,344.21,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2007-11-15,Maize (white) - Wholesale,MT,cereals and tubers,347.1125,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2007-12-15,Maize (white) - Wholesale,MT,cereals and tubers,357.2133,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2008-01-15,Maize (white) - Wholesale,MT,cereals and tubers,358.495,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2008-02-15,Maize (white) - Wholesale,MT,cereals and tubers,359.4075,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2008-03-15,Maize (white) - Wholesale,MT,cereals and tubers,359.9075,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2008-04-15,Maize (white) - Wholesale,MT,cereals and tubers,360.8075,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2008-05-15,Maize (white) - Wholesale,MT,cereals and tubers,348.48,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2008-06-15,Maize (white) - Wholesale,MT,cereals and tubers,342.992,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2008-07-15,Maize (white) - Wholesale,MT,cereals and tubers,331.805,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2008-08-15,Maize (white) - Wholesale,MT,cereals and tubers,322.1325,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2008-09-15,Maize (white) - Wholesale,MT,cereals and tubers,392.932,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2008-10-15,Maize (white) - Wholesale,MT,cereals and tubers,371.785,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2008-11-15,Maize (white) - Wholesale,MT,cereals and tubers,371.42,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2008-12-15,Maize (white) - Wholesale,MT,cereals and tubers,499.9933,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2009-01-15,Maize (white) - Wholesale,MT,cereals and tubers,476.25,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2009-02-15,Maize (white) - Wholesale,MT,cereals and tubers,398.9325,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2009-03-15,Maize (white) - Wholesale,MT,cereals and tubers,467.8175,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2009-04-15,Maize (white) - Wholesale,MT,cereals and tubers,481.0967,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2009-05-15,Maize (white) - Wholesale,MT,cereals and tubers,475.51,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2009-06-15,Maize (white) - Wholesale,MT,cereals and tubers,515.55,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2009-07-15,Maize (white) - Wholesale,MT,cereals and tubers,492.7225,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2009-08-15,Maize (white) - Wholesale,MT,cereals and tubers,508.672,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2009-09-15,Maize (white) - Wholesale,MT,cereals and tubers,509.8225,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2009-10-15,Maize (white) - Wholesale,MT,cereals and tubers,493.805,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2009-11-15,Maize (white) - Wholesale,MT,cereals and tubers,626.2375,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2009-12-15,Maize (white) - Wholesale,MT,cereals and tubers,665.375,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2010-01-15,Maize (white) - Wholesale,MT,cereals and tubers,528.39,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2010-02-15,Maize (white) - Wholesale,MT,cereals and tubers,588.075,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2010-03-15,Maize (white) - Wholesale,MT,cereals and tubers,634.158,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2010-04-15,Maize (white) - Wholesale,MT,cereals and tubers,680.1825,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2010-05-15,Maize (white) - Wholesale,MT,cereals and tubers,561.028,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2010-06-15,Maize (white) - Wholesale,MT,cereals and tubers,611.63,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2010-07-15,Maize (white) - Wholesale,MT,cereals and tubers,645.505,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2010-08-15,Maize (white) - Wholesale,MT,cereals and tubers,695.454,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2010-09-15,Maize (white) - Wholesale,MT,cereals and tubers,680.6875,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2010-10-15,Maize (white) - Wholesale,MT,cereals and tubers,662.4475,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2010-11-15,Maize (white) - Wholesale,MT,cereals and tubers,673.562,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2010-12-15,Maize (white) - Wholesale,MT,cereals and tubers,780.21,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2011-01-15,Maize (white) - Wholesale,MT,cereals and tubers,723.3,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2011-02-15,Maize (white) - Wholesale,MT,cereals and tubers,770.1667,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2011-03-15,Maize (white) - Wholesale,MT,cereals and tubers,577.5775,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2011-04-15,Maize (white) - Wholesale,MT,cereals and tubers,578.0567,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2011-05-15,Maize (white) - Wholesale,MT,cereals and tubers,685.148,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2011-06-15,Maize (white) - Wholesale,MT,cereals and tubers,707.735,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2011-07-15,Maize (white) - Wholesale,MT,cereals and tubers,765.665,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2011-08-15,Maize (white) - Wholesale,MT,cereals and tubers,877.914,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2011-09-15,Maize (white) - Wholesale,MT,cereals and tubers,914.7125,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2011-10-15,Maize (white) - Wholesale,MT,cereals and tubers,890.472,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2011-11-15,Maize (white) - Wholesale,MT,cereals and tubers,822.0125,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2011-12-15,Maize (white) - Wholesale,MT,cereals and tubers,815.5,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
